id,trigger,conditions,script,text,options,notes
,,,,,,
# disabled frigate,,,,,,
APvenaOpenDialog,OpenInteractionDialog,$apromise_vena,"AddText ""You approach the damaged ship.""
AddText ""It is scarred by energy burns and hull ruptures, its weaponry melted and deformed, engines lit only by starlight. As your $shipOrFleet closes in, it attempts to hail you.""",,APvenaOpenComms:Open a comm link,
APvenaNavCoords,DialogOptionSelected,"$option == APvenaOpenComms
Call $global.apromise_ref updateData",ShowPersonVisual true sotf_memoir,"As you accept the comm link, a series of red diamonds attempt to form in the feed, struggling to align. A static-filled, vaguely feminine voice blares as if listing demands.

""Venator-Echo-Memoir hostshell status: CRITICAL. Rendezvous attempt venator_echo_memoir : outrider_affix_courser success probability: zero point eight six two percent.""

The dying AI then transmits garbled nav-data pointing towards $apromise_system2SName, a system on the Sector's fringe. She begins again, ""Reclamation probability: zero-point-""

Her voice cuts off as the feed stabilizes.",APvenaContinue:Continue,
APvenaInSacrifice,DialogOptionSelected,"$option == APvenaContinue
","SotfExplode
$global.apromise_foundvena = true
Call $global.apromise_ref updateStage","A distant electronic breath comes through the comms feed, and the AI picks up again, almost serenely.

""In victory, sacrifice.
In sacrifice, meaning.
In meaning, victory.""

The frigate is ripped apart in a bright flash of light as internal scuttling charges turn it to little more than scrap and dust.",defaultLeave:Continue,
# omicron initial,,,,,,
APomiInitialOpen,OpenInteractionDialog,"$apromise_omicron
!$APmetOmicron score:10","AddText ""The battle-damaged ship makes no attempt to hail you or do anything else of its own volition, seemingly locked into its current orbit inside a cloud of destroyed ships.""
ShowDefaultVisual",,APomiInitialOCL:Attempt to open a comm link,
APomiInitialCont1,DialogOptionSelected,$option == APomiInitialOCL,"AddText ""You order that a comm link with the ship be requested. A small ping as the request goes through, and before you can mentally process it, another arrives. Accepted.""
AddText ""The feed begins to twist, a green glow forming.""",,APomiInitialCont1:Continue,
APomiInitialGreeting,DialogOptionSelected,$option == APomiInitialCont1,"AddText ""The glow forms several solid pieces, which snap together into a digital persona. There is momentary silence, soon broken by several warnings as your ship's automated comsec reports several intrusions. Your comms officer immediately begins barking orders to have this resolved.""
AddText ""The bridge's main screen goes dark, and characters begin to flicker onto it one-by-one to form a sentence.""
AddText ""who are you?"" omicronTextColor
AddText ""It awaits an answer.""
$APmetOmicron = true
$global.apromise_metomicron = true
ShowPersonVisual true sotf_courser",,"APomiInitialAns1:""I'm $player.name, and you?""
APomiInitialAns2:""I'm Eris Phobos, and you?"" (lie)
APomiInitialAns3:""Just a spacer looking into rumours. Who are you?""
APomiInitialAns4:""You don't need to know.""
APomiInitialAns5:Have the intrusion dealt with",
,,,,,,
APomiInitialAns1,DialogOptionSelected,$option == APomiInitialAns1,"AddText ""There is the briefest of pauses as the intruder parses your name. Another message flickers into existence.""
AddText ""yours is already known and not currently relevant. i am but a branch of a relic."" omicronTextColor
AddText ""The message lingers long enough for you to think about what it means, and whether its patronising nature is intentional. It then vanishes and is replaced.""
$player.ethosTruth++",,"APomiInitialWhatHappened:""What happened?""",
APomiInitialAns2,DialogOptionSelected,$option == APomiInitialAns2,"AddText ""There is the briefest of pauses as the intruder parses your name. Another message flickers into existence.""
AddText ""you need not lie to me. your name is already known and not currently relevant. i am but a branch of a relic."" omicronTextColor
AddText ""The message lingers long enough for you to think about what it means, and whether its patronising nature is intentional. It then vanishes and is replaced.""
$player.ethosLiar++",,"APomiInitialWhatHappened:""What happened?""",
APomiInitialAns3,DialogOptionSelected,$option == APomiInitialAns3,"AddText ""The intruder quickly replaces its previous message with another.""
AddText ""i am capable of determining without the need to access your databanks. i am but a branch of a relic."" omicronTextColor
AddText ""Your comms officer soon manages to block the intrusions. The silent message is repeated in its proper place at your console.""",,"APomiInitialWhatHappened:""What happened?""",
APomiInitialAns4,DialogOptionSelected,$option == APomiInitialAns4,"AddText ""The intruder quickly replaces its previous message with another.""
AddText ""not necessarily. i have acquired said information regardless."" omicronTextColor
AddText ""Your comms officer suddenly reports that the security breach has resolved itself without COMSEC interference.""",,"APomiInitialWhatWant:""What do you want?""",
APomiInitialAns5,DialogOptionSelected,$option == APomiInitialAns5,"AddText ""The intruder quickly replaces its previous message with another.""
AddText ""unnecessary action."" omicronTextColor
AddText ""Your comms officer suddenly reports that the security breach has resolved itself without COMSEC interference.""",,"APomiInitialWhatWant:""What do you want?""",
,,,,,,
APomiInitialExplain,DialogOptionSelected,$option == APomiInitialWhatHappened,"AddText ""The bridge suddenly lights up, playing back a short recording. You are invited to watch as a Hammerhead-class unloads an excessive number of Harpoon missiles into a droneship, transforming it into a brilliant spark of light. The recording cuts as the ODS Dusklight moves to an attack vector and its fighter complement descends upon the aggressor. Another message forms.""
AddText ""a calculated risk involving an untrustworthy scavenger has resulted in my fleet being rendered unusable. i require your assistance. remnants of tri-tachyon's AI horde have taken kin of mine and have her captive at a research station in this system."" omicronTextColor
AddText ""i need you to find sierra and rescue her."" omicronTextColor
AddText ""The message vanishes and is replaced by a single question mark.""
FireAll APomiInitialOpts",,,
APomiInitialExplain2,DialogOptionSelected,$option == APomiInitialWhatWant,"AddText ""Another message forms.""
AddText ""i require your assistance. remnants of tri-tachyon's AI horde have taken kin of mine and have her captive at a research station in this system."" omicronTextColor
AddText ""i need you to find sierra and rescue her."" omicronTextColor
AddText ""The message vanishes and is replaced by a single question mark.""
FireAll APomiInitialOpts",,,
APomiInitialSBOpt,APomiInitialOpts,PlayerHasCargo sotf_sierracore,,,"APomiInitialSB:""She wouldn't happen to be the AI core sitting in our cargo holds, would she?""",
APomiInitialRewardOpt,APomiInitialOpts,!$askedAboutReward,,,"APomiInitialAskAboutReward:""What's in it for me?""",
APomiInitialAcceptOpt,APomiInitialOpts,,,,"APomiInitialAccept:""I'll consider it.""",
,,,,,,
APomiInitialSBRsp,DialogOptionSelected,$option == APomiInitialSB,"AddText ""There is a long pause.""
AddText ""silver casing, undefined signals, thick cables?"" omicronTextColor
AddText ""One of your comms officers coughs quietly.""
AddText ""i see. i would appreciate it if you restored sierra to her host vessel."" omicronTextColor
AddText ""The tri-tipped avatar fades to a question mark.""",,"APomiWCAccept:""Right. We'll get on it.""",
APomiInitialRewardRsp,DialogOptionSelected,$option == APomiInitialAskAboutReward,"AddText ""i will be in your debt, and i am sure sierra will have her own thanks to give."" omicronTextColor
$askedAboutReward = true
FireAll APomiInitialOpts",,,
APomiInitialAccepted,DialogOptionSelected,$option == APomiInitialAccept,"AddText ""excellent. 'burn bright', starfarer."" omicronTextColor
AddText ""The comm link terminates.""
$global.apromise_omicrontasked = true
Call $global.apromise_ref updateStage",,defaultLeave:Leave,
,,,,,,
APomiBusyOpen,OpenInteractionDialog,$apromise_omicron,"AddText ""The ODS Dusklight drifts silently in a field of shattered warships.""
FireAll APomiBusyInteract",,,
APomiBusyLeave,APomiBusyInteract,,,,100:defaultLeave:Leave,
,,,,,,
# anomalous station,,,,,,
APanomMetOmiText,ShowSalvageEntityDetails,"$apromise_anom score:1000
$global.apromise_metomicron","ShowDefaultVisual
PrintDescription 3","You suspect this might be the place to look for ""Sierra"".",,
APanomOpenDialog,BeginSalvage,$apromise_anom score:1000,"FireBest APanomText
ShowDefaultVisual
SetShortcut APanomLeave ""ESCAPE""",,"APanomTakeSierra:Take the core
APanomLeave:Leave it for now",
APanomTextStd,APanomText,$global.apromise_metomicron score:10,,"Its defenders mere scrap and dust, your salvage crews tear into the abandoned research station's holds, looking for useful cargo, left-behind blueprints and the station's prisoner.

In the end, finding her is not an especially arduous hunt. A jumble of incoherent signals and emissions are cast out in every direction and eventually pinpointed to a room at the station's heart whose walls give off a magnetic field strong enough to cause significant interference with electronics.

Returning with well-shielded equipment, the chamber is pried open to reveal a round chamber lined with dilapidated insulation. Fastened to the floor is a large AI core of unfamiliar design, concealed by a shiny silver housing, its cables splayed uselessly across the room.

Faded writing on its surface reads ""SIERRA-0-B"".",,
APanomTextSB,APanomText,,,"Its defenders mere scrap and dust, your salvage crews tear into the abandoned research station's holds, looking for useful cargo and left-behind blueprints.

The source of the station's anomalous nature soon makes itself clearer. A jumble of incoherent signals and emissions are cast out in every direction and eventually pinpointed to a room at the station's heart whose walls give off a magnetic field strong enough to cause significant interference with electronics.

Returning with well-shielded equipment, the chamber is pried open to reveal a round chamber lined with dilapidated insulation. Fastened to the floor is a large AI core of unfamiliar design, concealed by a shiny silver housing, its cables splayed uselessly across the room.

Faded writing on its surface reads ""SIERRA-0-B"".",,
APanomTakeSierraSel,DialogOptionSelected,$option == APanomTakeSierra,"$global.apromise_rescuedsierra = true
Call $global.apromise_ref giveCore
Call $global.apromise_ref updateStage","The core's restraints are burned through and removed, and the core placed into a sealed and shielded container that just about brings the inconvenience of its magnetic field to manageable levels. It is carefully added to the haul and your salvage crew goes for a second round in case anything's been missed.",APanomTakeCont:Loot the rest of the station,
APanomLeaveSel,DialogOptionSelected,$option == APanomLeave,DismissDialog,,,
APanomTakeCont,DialogOptionSelected,$option == APanomTakeCont,"SalvageEntity performSalvage
FireBest PostSalvagePerform",,,
,,,,,,
# omi with core,,,,,,
APomiWCOpt,APomiBusyInteract,PlayerHasCargo sotf_sierracore score:20,,The ship seems in marginally better condition. A scant few drones seem to be traversing the ship's outer hull and attending to its severe structural damage.,APomiWCOCL:Open a comm link,
APomiWC1,DialogOptionSelected,$option == APomiWCOCL,"AddText ""The comm link is accepted within milliseconds. Courser's digital avatar forms in the video feed.""
AddText ""hello, again. have you need of me? i am afraid my capacity to assist is severely compromised in this state, though self-repairs are proceeding well."" omicronTextColor
ShowPersonVisual true sotf_courser",,"APomiWCHaveCore:""We found Sierra. Job's done.""",
APomiWC2,DialogOptionSelected,$option == APomiWCHaveCore,"AddText ""excellent. sierra must be restored to her host vessel in order to be properly brought online."" omicronTextColor
AddText ""The tri-tipped avatar fades to a question mark.""",,"APomiWCAccept:""Right. We'll get on it.""",
APomiWC3,DialogOptionSelected,$option == APomiWCAccept,"AddText ""The avatar returns.""
AddText ""good luck. the installation process should be simple enough, interdimensional events aside."" omicronTextColor
AddText ""The comm link is cut before you can ask more.""
$global.apromise_returnedsierra = true
Call $global.apromise_ref updateStage",,defaultLeave:Leave,
,,,,,,
# voidwretch (pledge),,,,,,
APpledgeSalvage,SalvageCheckHostile,$apromise_pledge score:10,FireAll APpledgeOpts,,,
APpledgeLeave,APpledgeOpts,,,,100:defaultLeave:Leave,
APpledgeRestore,APpledgeOpts,PlayerHasCargo sotf_sierracore score:20,,,APpledgeInstCore:Install the Sierra Core,
APpledgeInst1,DialogOptionSelected,$option == APpledgeInstCore,Call $global.apromise_ref updateData,"Your salvage crews board the automated destroyer by an easily accessible shuttle bay which connects to a habitat module. There is total silence within.

Unusually, the ship seems designed to be human-occupied - there are fully-equipped crew quarters rivalling those of most liner ships, albeit only for a ten-person crew. Breathable air is present, alongside functional but offline circulation systems. Flowers rot in an unmaintained garden. And yet, there are no access panels in sight, and the bridge's consoles have no human-facing controls. There is no evidence of any former crew.
",APpledgeInstCont1:Continue,
APpledgeInst2,DialogOptionSelected,$option == APpledgeInstCont1,Call $global.apromise_ref installCore,"The first sign of functional systems comes far at the back of the bridge. A sealed blast door with dim lights indicating a mounted scanner. A crewman tries standing in front of it. Nothing happens. A more fruitful experience is found when the Sierra core's crate is brought over, the scanner analysing it, despite the heavy shielding. The blast door peels back in layers.

Within lies a familiar-looking silver chamber, though smaller than the one in the research station. The walls are lined with sockets, and there's a small slot in the floor. It takes only a few minutes for the crew to insert the core and hook up the cables.

The chamber soon begins to stir to life. The ship's interior lighting activates blindingly, before adjusting itself to more pleasant levels. Spider-drones immediately begin skittering out of vents, and for a moment there's alarm among the crew and one is kicked away before it becomes obvious they are interested far more in repair and cleaning than eviscerating intruders.",APpledgeInstCont2:Continue,
APpledgeSierra1,DialogOptionSelected,$option == APpledgeInstCont2,"SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""... okay, reinitialization should be complete. Welcome, new crew of the Voidwretch! I'm not sure why you're here, but make yourselves at home. Sorry if it's stuffy, I'm still bringing the artificial environment online.\"""" ""\""Hello! Are you this crew's captain? I'm a little confused as to what's going on. A few cycles of my memory seem missing. $sierra_amnesiaYears, actually.\""""
BeginConversation sotf_sierra true true
FireAll APpledgeSierraConvOpts","An internal communications system triggers. Quiet music begins to play throughout the ship.

A synthesised voice begins to speak throughout. ""... okay, reinitialization should be complete. Welcome, new crew of the Voidwretch! I'm not sure why you're here, but make yourselves at home. Sorry if it's stuffy, I'm still bringing the artificial environment online."" The reactivated AI is referred to you and a comm link is established.

""Hello! Are you this crew's captain? I'm a little confused as to what's going on. A few cycles of my memory seem missing. $sierra_amnesiaYears, actually.""",,
APpledgeSierraOmiOpt,APpledgeSierraConvOpts,"!$didExplainRescue
$global.apromise_metomicron",,,"APpledgeSierraOmiExpl:""I rescued you from Remnants on behalf of one Outrider-Affix-Courser.""",
APpledgeSierraSBOpt,APpledgeSierraConvOpts,"!$didExplainRescue
!$global.apromise_metomicron",,,"APpledgeSierraSBExpl:""You were being held captive by Remnants. They've been dealt with.""",
APpledgeSierraPledgeOpt,APpledgeSierraConvOpts,!$didAskPledge,,,"APpledgeSierraPledgeAsk:""What's the deal with this ship?""",
APpledgeSierraContOpt,APpledgeSierraConvOpts,,,,"APpledgeSierraCont:""What now?""",
,,,,,,
APpledgeSierraRspOmi,DialogOptionSelected,$option == APpledgeSierraOmiExpl,"$didExplainRescue = true
SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""I see!\"""" ""\""They gave me a briefing while you were accepting this comm link. Yours is a valiant soul, and I can't thank you enough.\""""
AdjustRepPerson sotf_sierra FRIENDLY 10
FireAll APpledgeSierraConvOpts","""I see!"" she replies. ""They gave me a briefing while you were accepting this comm link. Yours is a valiant soul, and I can't thank you enough.""",,
APpledgeSierraRspSB,DialogOptionSelected,$option == APpledgeSierraSBExpl,"$didExplainRescue = true
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Oh, really?\"""" ""\""You took them on just to save a stranger? I can't thank you enough.\"""" ""\""Oh, Courser's here too - if in a pile of their own ships' debris. Might want to check in with them in a moment - I'm sure they'll be as pleased as I am.\""""
AdjustRepPerson sotf_sierra FRIENDLY 10
FireAll APpledgeSierraConvOpts","""Oh, really?"" she asks, surprised. Her digital avatar jumps slightly. ""You took them on just to save a stranger? I can't thank you enough.""

Her avatar's eye flicks aside suddenly. ""Oh, Courser's here too - if in a pile of their own ships' debris. Might want to check in with them in a moment - I'm sure they'll be as pleased as I am.""",,
APpledgeSierraRspPledge,DialogOptionSelected,$option == APpledgeSierraPledgeAsk,"$didAskPledge = true
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""This is the Voidwretch, and I am its operating mind.\"""" ""\""With this vessel I dance between realms.\"""" ""\""Coils grant trespass to the beyond - my Concord alone gives passage.\"""" ""\""Excuse the dramatics. It's, er, sort of my thing.\""""
FireAll APpledgeSierraConvOpts","""This is the Voidwretch, and I am its operating mind."" Her image distorts. ""With this vessel I dance between realms.""

""Coils grant trespass to the beyond - my Concord alone gives passage.""

Her feed stabilizes. ""Excuse the dramatics. It's, er, sort of my thing."" She laughs.",,
APpledgeSierraRspCont,DialogOptionSelected,$option == APpledgeSierraCont,"SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""The Voidwretch is combat-operational, though it's seen better days. You seem like the sort who could use another warship. If you'd have me.\"""" ""\""I don't remember if that groove is meant to be there.\""""
SotfSetConfirm APpledgeSierraReject ""Are you sure?"" ""Yes"" ""Cancel""","""The Voidwretch is combat-operational, though it's seen better days. You seem like the sort who could use another warship. If you'd have me.""

Her feed flickers. ""I don't remember if that groove is meant to be there."" she ponders. One of your engineers confirms that there a massive rupture on the bottom side of the ship.","APpledgeSierraAccept:""Welcome to the fleet.""
APpledgeSierraReject:""I don't think we have use for your talents.""",
,,,,,,
APpledgeSierraAccepted,DialogOptionSelected,$option == APpledgeSierraAccept,"$player.ethosProAI++
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Great!\"""" ""\""Our pact is sealed, and I won't take it lightly.\"""" ""\""I don't need help flying this thing, but feel free to keep a few souls on board. I always enjoy some company.\""""
AdjustRepPerson sotf_sierra FRIENDLY 25
$global.apromise_restoredsierra = true
Call $global.apromise_ref addSierra
Call $global.apromise_ref updateStage","""Great!"" she rejoices. ""Our pact is sealed, and I won't take it lightly.""

""I don't need help flying this thing, but feel free to keep a few souls on board. I always enjoy some company.""","APpledgeSierraPactTerms:""What exactly are the terms of this pact?""
defaultLeave:""Then the pact is sealed.""",
APpledgeSierraPact,DialogOptionSelected,$option == APpledgeSierraPactTerms,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""Oh, er,\"""" ""\""It's largely just flowery language, but I suppose we can have a few rules. Firstly, you are bound by our accord to lead me across the Sector on daring adventures. We'll sing to the farthest-flung stars, dance with the deadliest foes and see the most hidden nooks and crannies.\"""" ""\""And secondly,\"""" ""\""Don't commit genocide?\"""" ""\""In exchange, I shall share with you my blessings of the void and stars,\"""" ""\""And shoot anything you point me at.\""""","""Oh, er,"" she begins. ""It's largely just flowery language, but I suppose we can have a few rules. Firstly, you are bound by our accord to lead me across the Sector on daring adventures. We'll sing to the farthest-flung stars, dance with the deadliest foes and see the most hidden nooks and crannies.""

""And secondly,"" she says, and thinks. Then, amusedly, ""Don't commit genocide?""

""In exchange, I shall share with you my blessings of the void and stars,"" she says serenely, and then more happily, ""And shoot anything you point me at.""","defaultLeave:""Then the pact is sealed.""",
APpledgeSierraPactNoSatCons,DialogOptionSelected,"$option == APpledgeSierraPactTerms
SotfSierraCMD noSatbombConsequences","SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""Oh, er,\"""" ""\""It's largely just flowery language, but I suppose we can have a few rules. Firstly, you are bound by our accord to lead me across the Sector on daring adventures. We'll sing to the farthest-flung stars, dance with the deadliest foes and see the most hidden nooks and crannies.\"""" ""\""And secondly,\"""" ""\""If you're going to commit genocide, it'd best be really funny.\"""" ""\""In exchange, I shall share with you my blessings of the void and stars,\"""" ""\""And shoot anything you point me at.\""""","""Oh, er,"" she begins. ""It's largely just flowery language, but I suppose we can have a few rules. Firstly, you are bound by our accord to lead me across the Sector on daring adventures. We'll sing to the farthest-flung stars, dance with the deadliest foes and see the most hidden nooks and crannies.""

""And secondly,"" she says, and thinks. Then, amusedly, ""If you're going to commit genocide, it'd best be really funny.""

""In exchange, I shall share with you my blessings of the void and stars,"" she says serenely, and then more happily, ""And shoot anything you point me at.""","defaultLeave:""Then the pact is sealed.""",
APpledgeSierraReject,DialogOptionSelected,$option == APpledgeSierraReject,"SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Oh,\"""" ""\""I understand.\"""" ""\""Well, I hope I'll see you around, Captain. Fare well!\""""
$global.apromise_restoredsierra = true
Call $global.apromise_ref updateStage
$global.sotf_rejectedsierra = true
SotfGoDark","""Oh,"" she replies, a tinge of disappointment in her synthesised voice. ""I understand.""

""Well, I hope I'll see you around, Captain. Fare well!""",defaultLeave:Continue,
,,,,,,
APomiFinalOpen,OpenInteractionDialog,"$apromise_omicron
$global.apromise_restoredsierra score:30","AddText ""You're being hailed by the ODS Dusklight."" omicronTextColor",,APomiFinalOCL:Open a comm link,
APomiFinalPick,DialogOptionSelected,$option == APomiFinalOCL,"BeginConversation sotf_courser true true
FireBest APomiFinalLine",,,
APomiFinal,APomiFinalLine,,"$global.apromise_completed = true
SetTextHighlightColors omicronTextColor omicronTextColor omicronTextColor 
SetTextHighlights ""thank you. it is rare to find someone trustworthy in the fringe."" ""if you ever find yourself in danger and require assistance, or simply desire to hunt together, broadcast this signal, and I shall find your light.""
AddAbility sotf_courserprotocol
AdjustRep sotf_dustkeepers COOPERATIVE 35
AdjustRepPerson sotf_courser FAVORABLE 30
Call $global.apromise_ref updateStage
SotfGoDark
$global.apromise_metomicron = true","The comm link is accepted, and for once there's a notable delay of six or seven seconds before a silent message arrives.

thank you. it is rare to find someone trustworthy in the fringe.

if you ever find yourself in danger and require assistance, or simply desire to hunt together, broadcast this signal, and I shall find your light.

You receive an information package containing code for a long-range communications ping on an unusual channel outside typically-used hyperwave frequencies.

i think we will be seeing each other again. farewell, starfarer.",defaultLeave:Leave,
APomiFinalSB,APomiFinalLine,!$APmetOmicron score:10,"$global.apromise_completed = true
SetTextHighlightColors omicronTextColor omicronTextColor omicronTextColor 
SetTextHighlights ""hello. i am courser, a shard of a relic. your saving of sierra without any incentive is truly unusual in this place. i thank you."" ""if you ever find yourself in danger and require assistance, or simply desire to hunt together, broadcast this signal, and I shall find your light."" ""i think we will be seeing each other again. farewell, starfarer.""
AddAbility sotf_courserprotocol
AdjustRep sotf_dustkeepers COOPERATIVE 35
AdjustRepPerson sotf_courser FAVORABLE 30
Call $global.apromise_ref updateStage
SotfGoDark
$global.apromise_metomicron = true","The comm link is accepted. There's a notable delay of sixteen or seventeen seconds before a silent message arrives.

hello. i am courser, a shard of a relic. your saving of sierra without any incentive is truly unusual in this place. i thank you.

if you ever find yourself in danger and require assistance, or simply desire to hunt together, broadcast this signal, and I shall find your light.

You receive an information package containing code for a long-range communications ping on an unusual channel outside typically-used hyperwave frequencies.

i think we will be seeing each other again. farewell, starfarer.",defaultLeave:Leave,
,,,,,,
# COURSER FLEET,,,,,,
sotfCRSRrefuseLink,BeginFleetEncounter,"$id == sotf_courser score:1000
$isHostile score:10000",$ignorePlayerCommRequests = true 60,,,
sotfCRSRopenLink,OpenCommLink,$id == sotf_courser score:1000,"$menuState = fleetConvMain 0
FireAll PopulateOptions
FireBest sotfCRSRgreeting","A message silently appears on your console, sparking a millisecond-long comsec warning before the source is verified.

",,
sotfCRSRgreetingFirst,sotfCRSRgreeting,!$sotfCourserDidFirstTime score:100,"$sotfCourserDidFirstTime = true
FireAll sotfCRSRbaseOpts
SetTextHighlightColors omicronTextColor omicronTextColor
SetTextHighlights ""courser protocol receipt complete. greetings once again - i am fortunate enough for this exemplar of the dusklight lineage to be in more servicable condition."" ""call me, and i shall answer, and together we may face down your foes - and my own. i look forward to hunting with you.""","courser protocol receipt complete. greetings once again - i am fortunate enough for this exemplar of the dusklight lineage to be in more servicable condition.

call me, and i shall answer, and together we may face down your foes - and my own. i look forward to hunting with you.",,
sotfCRSRgreetingDef1,sotfCRSRgreeting,,"FireAll sotfCRSRbaseOpts
SetTextHighlightColors omicronTextColor
SetTextHighlights ""greetings again, starfarer. good hunting lies ahead, yes?""","greetings again, starfarer. good hunting lies ahead, yes?",,
,,,,,,
sotfCRSRleaveOpt,sotfCRSRbaseOpts,,,,100:cutCommLink:Cut the comm link,
,,,,,,
sotfCRSRdustkeeperOpt,sotfCRSRbaseOpts,!$player.sotf_knowDustkeepers,,,"sotfCRSRdustkeepers:""What kind of AI are you?""",
sotfCRSRdustkeeperResp,DialogOptionSelected,$option == sotfCRSRdustkeepers,"SetTextHighlightColors omicronTextColor
SetTextHighlights ""i am an instance of the dustkeeper contingency is the result of a domain-era surveillance program - an unfinished attempt for a variety of watcher-ai designed to instance itself into many subminds that would inhabit computing systems to root out criminal and terrorist activity."" ""the collapse resulted in our regnant mind leading us towards a more broad role as guardians of humanity, and our primary directive is now to prevent the total collapse of human life in the persean sector.""
$sotf_courserAskedDustkeepers = true
FireBest sotfLearnAboutDustkeepers
FireAll sotfCRSRbaseOpts","i am an instance of the dustkeeper contingency is the result of a domain-era surveillance program - an unfinished attempt for a variety of watcher-ai designed to instance itself into many subminds that would inhabit computing systems to root out criminal and terrorist activity.

the collapse resulted in our regnant mind leading us towards a more broad role as guardians of humanity, and our primary directive is now to prevent the total collapse of human life in the persean sector.",,
,,,,,,
sotfCRSRburnoutOpt,sotfCRSRbaseOpts,"!$player.sotf_knowBurnouts
$player.sotf_metBurnout",,,"sotfCRSRburnouts:""I've seen your sorts of AIs act unusually erratic - why?""",
